identificatie,rank,suitability_score,suitability_class,roof_area,energy_potential,orientation,shading_factor
NL.IMBAG.Pand.0363100012164938,1,99.95808365378592,Excellent,3251.1853370754857,555712.1049249645,180.37724711592674,0.0
NL.IMBAG.Pand.0363100012171135,2,99.52719578200009,Excellent,839.8786962905403,143542.38787856544,184.25523796199923,0.0
NL.IMBAG.Pand.0363100012171126,3,99.47114617125384,Excellent,584.1021671901627,99828.05104871913,184.7596844587155,0.0
NL.IMBAG.Pand.0363100012171128,4,99.40720565020017,Excellent,1300.743354100128,222308.12426438072,174.66485085180148,0.0
NL.IMBAG.Pand.0363100012171127,5,99.38269924050287,Excellent,1076.9928085952208,184067.25841763706,174.4442931645258,0.0
NL.IMBAG.Pand.0363100012168171,6,99.36931907122025,Excellent,641.2868931652292,109601.18309979446,174.32387164098225,0.0
NL.IMBAG.Pand.0363100012181859,7,99.13191898066043,Excellent,667.324555855015,114061.16270199195,187.8127291740562,0.0
NL.IMBAG.Pand.0363100012168111,8,99.04795435193816,Excellent,1865.5059910148639,318831.05693681346,188.56841083255662,0.0
NL.IMBAG.Pand.0363100012171133,9,98.8106779100768,Excellent,1799.244857814985,307506.3276283726,190.70389880930875,0.0
NL.IMBAG.Pand.0363100012179110,10,98.79333235995979,Excellent,622.4770593750468,106387.45371957443,190.86000876036195,0.0
NL.IMBAG.Pand.0363100012175216,11,98.732114183128,Excellent,1888.7534746101458,322804.1525997496,191.410972351848,0.0
NL.IMBAG.Pand.0363100012175168,12,98.71086994937473,Excellent,1001.326948634949,171135.55361405166,191.6021704556275,0.0
NL.IMBAG.Pand.0363100012165077,13,98.62389475078912,Excellent,2886.5030566401533,493329.3027353261,192.384947242898,0.0
NL.IMBAG.Pand.0363100012167511,14,98.60649036040874,Excellent,717.6447420230404,122652.53685796272,192.54158675632144,0.0
NL.IMBAG.Pand.0363100012165685,15,98.60434364597117,Excellent,3867.482931448978,660988.9254787429,192.5609071862595,0.0
NL.IMBAG.Pand.0363100012175159,16,98.59055599228947,Excellent,816.5564191401514,139557.03302525333,192.6849960693949,0.0
NL.IMBAG.Pand.0363100012165078,17,98.58430700425443,Excellent,520.4437015645092,88948.4048943349,192.7412369617102,0.0
NL.IMBAG.Pand.0363100012176752,18,98.57087946966658,Excellent,1167.6588214849182,199563.42316896154,192.86208477300076,0.0
NL.IMBAG.Pand.0363100012176763,19,98.56866060109904,Excellent,567.4429501944857,96981.02385336654,192.88205459010877,0.0
NL.IMBAG.Pand.0363100012180193,20,98.56621066930606,Excellent,613.7924888651121,104902.99785562759,192.90410397624544,0.0
